Details,Type of finding
ไม่ตรวจสอบมาตการในข้อ6.1 ,
เปลี่ยนงาน,
ทดสอบ1,
เปิด work permit เป็นงานขนย้ายอุปกรณ์นั่งร้าน แต่การทำงานที่หน้างานจริงเป็นตั้งนั่งร้าน,HNM
JSA เป็นงานขนย้ายอุปกรณ์ ผิดประเภทของงานที่ทำอยู่  หน้างานเป็นงานตั้งร้าน,Near Miss
งานที่ทำคืองานตั้งนั่งร้าน  ไม่ตรงกับงานที่ระบุใน  work permit&JSA. ที่เป็นงานขนย้ายอุปกรณ์,Near Miss
ไม่ตรงตามลักษณะงานที่ขอไว้,
ไม่มีป้ายเตือนพื้นที่อับอากาศ ตรงช่องเปิด D942 ,Unsafe Condition
มีสภาพพื้นที่สกปรก มีขยะของวางกอง,
Test edit Finding,
"ตรวจสอบพบคู่ร่วมธุรกิจบริษัท BMC งานเชื่อม Support ผู้ช่วยช่างและ Fire Watch ไม่มี Mask ป้องกันอันตรายจากฟูมงานเชื่อม 
ผ้ากันไฟไม่สามารถป้องกันสเก็ดไฟได้มีการจับผ้ากันไฟไว้เองรับแจ้งพื้นที่ไม่อำนวย",Unsafe Condition
Safety Lead ที่ดูแลหน้างานใน Work Permit และ JSA ระบุเป็นงาน H/W Class I และ งานบนที่สูง ตรวจสอบพบ Lead งานบนที่สูงหมดอายุ ตั้งแต่ วันที่ 21/08/64,Near Miss
"ตรวจสอบพบ 
- คนงานหุ้ม Insulation ไม่มี Mask ป้องกันตราบจากฝุ่น Insulation
- คนงานที่ยาแนวโดยใช้ Silicone ไม่สวมใส่ Mask ป้องกันอันตรายจากไอกรดของ Silicone 
- ตรวจสอบใน JSA มีระบุการป้องกันอันตรายไว้เพียงแค่ผ้าปิดจมูก ",Near Miss
ตรวจสอบพบคู่ธุรกิจบริษัท MYC กำลังทำ PT-Test พบไม่สวมใส่ Mask ป้องกันไอระเหยของน้ำยา PT ได้ทำการแจ้งเตือนและขอตรวจสอบ JSA ไม่พบการประเมินงาน PT-Test ,Unsafe Condition
ตรวจสอบพบเอกสาร SE-F-0189 Rev.007 Fire Watch ไม่ลงข้อมูลในข้อ 3 (การเฝ้าระวังหลังเสร็จสิ้นการปฎิบัติงาน) ลงเพียงเวลาเริ่มงานในช่วงเช้า ไม่ลงรายระเอียด สิ้นสุดการเฝ้าระวังในช่วงเช้าและลงลายมือชื่อในช่วงเช้า (ตามรูปแนบ),Near Miss
ตรวจสอบพบอุปกรณ์ส่วนควบไม่ครบ พบเจอ Grinder 4 นิ้ว ไม่สวมใส่ Handle และการใช้งานพื้นที่ปกติที่ไม่ใช่หลืบมุมที่จำเป็นต้องถอด,Near Miss
"ตรวจสอบพบ Permit พบ ข้อ1.1 Permit Requestor (ก่อเกียรติ)คนขอปฏิบัติงาน ไม่ได้เข้ามาทำงาน
หน้างานมีการปฏิบัติงาน โดยการรับรองการทำงานข้อ 3 คนเซ็นเอกสารเป็น (นายดำรงเกียรติ) คนละคนกัน
และในเอกสารแนบ Safe Work Certificate งานบนที่สูง ก็เป็นการเซ็นเอกสารโดยคุณก่อเกียรติ 
รวมถึงเอกสาร JSA (ผู้ขออนุญาต)",Near Miss
ตรวจสอบพบมีการใช้งานเลื่อยวงเดือน ขอตรวจสอบ Work Permit และ JSA ไม่พบการประเมิน JSA ในการใช้งานเลื่อยวงเดือน,Unsafe Condition
ขอตรวจสอบ Safety Lead ที่ระบุไว้ใน Work Permit พบชื่อคุณวรรณิภา เซ็นระบุอยู่ที่ข้อ 1.3 และข้อ 3 แต่หน้างานจริงพบเป็นคุณจินตนา ปฏิบัติงานอยู่จึงได้สอบถามว่าคุณวรรณิภา ทำไมไม่มาดูงานนี้รับแจ้งจากคุณจินตนา ว่าไม่ได้เข้ามาทำงานทางบริษัทให้เข้ามาดูงานแทน,Near Miss
"ตรวจสอบพบ ข้อ 1.1 Permit Requester ชื่อนายก่อเกียรติ เป็นผู้ขออนุญาต (ไม่ได้เข้ามาทำงาน)
ข้อ 3 Permit Requester ที่ลงชื่อมาดูงานชื่อนายดำรงเกียรติ 
เอกสาร Safe Work Checklist งานที่ก่อให้เกิดประกายไฟ,งานบนที่สูงและ JSA จะต้องมีการตรวจสอบหน้างานก่อนจาก Checklist พบมีการลงชื่อนายก่อเกียรติ (ไม่ได้เข้ามาทำงาน)",Unsafe Condition
"ตรวจสอบพบ ข้อ1.1 Permit Requester ลงชื่อนายก่อเกียรติ (ผู้ขออนุญาต) ไม่ได้เข้าทำงาน
ข้อ 3 Permit Requester ลงชื่อนายดำรงเกียรติ ในการขอเปิดงาน 
เอกสาร Safe Work Certificate และ JSA ในเอกสารลงชื่อนายก่อเกียรติ ผู้ขออนุญาต เพราะเอกสาร Safe Work Checklist จะต้องมีการตรวจสอบที่หน้างานก่อนเริ่มทำงานเพื่อความปลอดภัย คนที่ลงชื่อไว้ไม่ได้เข้ามาทำงาน",HNM
ตรวจสอบพบการล้อมพื้นที่ Generator มีการล้อมพื้นที่เรียบร้อยมีทางเข้า-ออก ชัดเจน พบไม่ติด TAG BARRICADE ,Near Miss
ตรวจสอบพบ Mask ช่างเชื่อม ตัว Body หมดอายุมีการใช้งานเกิน 5 ปี,
ตรวจสอบพบ Safety Lead ควบคุมงานตั้งนั่งร้านเอกสารมีระบุการทำงานบนที่สูง ของตรวจสอบบัตร Safety Lead พบ การสอบขึ้นทะเบียน Working at Height Work หมดอายุ (สอบจาก S#3) ,Near Miss
ตรวจสอบพบคู่ร่วมธุรกิจบริษัท HHP ทำการเจียร Support พบ Grinder ขนาด 4 นิ้ว ไม่สวมใส่ Handle ขณะปฏิบัติงาน,Unsafe Condition
ตรวจสอบ JSA คู่ร่วมธุรกิจบริษัท HDS พบขาดการประเมินงาน Water Jet (รูปแนบ),Unsafe Condition
ตรวจสอบ Work Permit เอกสารแนบงานที่เกี่ยวกับแรงดันสูง,Unsafe Condition
ตรวจสอบไม่พบเอกสาร งานที่เกี่ยวแรงดันสูงแนบ,Unsafe Action
"ตรวจสอบพบเอกสารแนบ Safe Work Certificate การปิดกั้นป้องกันลูกไฟ
 (Hot Work) Fire Watch ไม่ลงข้อมูลในส่วนที่ 3 (การเฝ้าระวังหลังเสร็จสิ้นการปฏิบัติงาน)ช่วงเช้า",Near Miss
"ตรวจสอบพบ JSA มีการประเมินการทำงานครบถ้วนแต่ไม่พบการลงชื่อ 
ข้อที่ 3 (ผู้วิเคราะห์ JSA)
ข้อที่ 4 (ผู้ขออนุญาต - Permit Requester)",
Field verify ลงชื่อล่วงหน้าก่อนที่จะทำการ JSA talk,
ไม่ประเมินการตัดแยกระบบ และการทำงานใกล้ source รังสี,
Permit Approver ไม่ตรงกับลักษณะงาน โฟร์แมนอนุมัติแทน ผู้จัดการแผนก ในงานHW class II,Unsafe Condition
Spark arrester ที่ครอบปลายท่อไอเสียเครื่องยนต์ของเครื่อง Water jet ขาดชำรุดไม่อยู่ในสภาพพร้อมใช้งาน,Near Miss
คู่ธุรกิจ บริษัท Protech ขึ้นไปบนนั่งร้านที่มีความสูงมากกว่า 1.8 เมตรเพื่อรื้ิอ Insulation ไม่สวมใส่ Harness ป้องกันการตก,Near Miss
มีงานทาสี และใช้ทินเนอร์ แต่ไม่ระบุ PPE เรื่องการใช้อุปกรณ์ป้องกันหายใจตามลักษณะงาน,Unsafe Condition
มีถัง Catalyst ที่สารไวไฟวางอยู่ตรงจุดที่มีงานตัดเชื่อม,Unsafe Condition
ไม่ควมคุมพื้นที่ให้อยู่ในสภาพทีปลอดภัย ยังมีวัสดุติดไฟอยู่ในพื้นที่,Unsafe Condition
บริเวณที่พักของคู่ธุรกิจงาน Shut down PP พื้นทางเดินมีน้ำทำให้พื้นแฉะ ,Unsafe Condition
ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ในข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ,Unsafe Condition
- ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ,Near Miss
Permit Requestor และ safety lead ไม่ได้เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3,Unsafe Condition
ไม่มีเอกสาร Health check แนบกับwork permit,
ตรวจสอบ 5ส. พบถุงมือที่ใช้แล้ววางทิ้งไว้ไม่จัดเก็บ/ กล่องใส่ขวดทดลองวางไม่เป็นระเบียบ /ขวดน้ำกลั่นวางเป็นเครื่องไฟฟ้าไม่ปิดฝา / มีสิ่งกีดขวางเครื่องดับเพลิง,Near Miss
"ตรวจสอบ บริเวณจุดตั้งเครื่อง Water Jet พบท่อครอบไอเสียเครื่องหลุดร่วงลงมาด้านล่าง 
",Unsafe Condition
ตรวจสอบพบเอกสารแนบไม่ครบถ้วนอ้างอิงเอกสาร Safe Work Certificate SE-F-0273 Rev.001 ข้อ 2.1รายชื่อ 4 ผู้ มีระบุแต่เอกสาร Cer.ผ่านอบรมของคนขับ Crane ไม่มีแนบ,Unsafe Condition
ตรวจสอบพบเอกสารแนบไม่ครบถ้วนอ้างอิงเอกสาร Safe Work Certificate SE-F-0273 Rev.001 ข้อ 2.1 รายชื่อ 4ผู้ มีระบุแต่เอกสาร Cer.ผ่านการอบรมคนขับ Crane ไม่มีแนบ,Unsafe Condition
ตรวจสอบพบงานถอด Control Valve พบการใช้ Sling ผ้า ยกโดยใช้ขนาดที่ยาวเกินไปและทำการผู้มัดเป็นปมและเป็นจุดที่รับแรงอาจจะทำไม้Slinf ผ้าเสียหายหรือขาดได้ อาจจะทำอันตรายต่อบุคคลที่กำลังปฏิบัติงานได้,Near Miss
ตรวจสอบพบเอกสาร Safe Work Certificate ไม่มีการตรวจสอบโดย Permit Requester (มีการทำงานแล้ว),Unsafe Condition
ตรวจสอบพบ JSA ขาดการประเมินความเสี่ยงในงานการทำงานบนที่สูง,
พบถังสีที่ใช้งานหมดแล้วไม่มีการจัดเก็บในภาชนะ และ ไม่มีป้ายบ่งชี้จุดจัดวาง,Unsafe Condition
ตรวจสอบพบ JSA ขาดการประเมินความเสี่ยงในงานการทำงานบนที่สูง (มีการปฏิบัติงานแล้ว)และทำการประเมิน JSA ในช่องตำแหน่งและพื้นที่ในการทำงาน หัวข้อที่ 5,Near Miss
"จุดที่มีการใช้งานหรือจัดเก็บสารเคมี ไม่มี SDS , Diamond sign",Unsafe Condition
ตรวจสอบ 5ส. พบรถจักรยานที่ไม่ใช้งานแล้วจอดทิ้งไว้ข้าง Line น้ำดับเพลิง'และ บนหลังตู้ระบบอุปกรณ์ฉุกเฉิน ,Near Miss
- ตรวจสอบจากสำเนาworkpermit ที่ประตูD3 พบว่า Permit Requestor & safety lead เซ็นชื่อรับรองความปลอดภัยหน้างาน ข้อ 3 ก่อนเข้าไปถึงหน้างานจริง ,Near Miss
#NAME?,
#NAME?,
พบทีมงานทำงาน PT แนวเชื่อม E-3712 ไม่สวมใส่อุปกรณ์ป้องกันทางเดินหายใจตามมาตรการกำหนด,Near Miss
"ตรวจสอบพบ JSA ในหัวข้อที่ 5 พบมีการติ๊กข้อมูล ทางเข้า-ออก และ ตำแหน่งในการทำงาน ในข้อ 5.1 พื้นที่ทำงานคับแคบ/ต้องปีนข้าม
5.2 พื้นที่ปฏิบัติงานคับแคบ/ต้องก้มเงย 
มีการติ๊กข้อมูลดังกล่าวแต่ไม่ประเมิน JSA เพิ่ม",Unsafe Condition
ตรวจสอบพบการทำงานทีม Instrument บริษัท Forword กำลังติดตั้งอุปกรณ์พบ JSA ขาดประตรวจสอบโดย Safety Lead,Near Miss
ตรวจสอบพบ Work Permit เปิดงานเป็น งานทั่วไป พบการปฏิบัติงานจริงเป็นงานยกโดย Crane 70 Ton ตาม Permit to work ควรที่เปิดเป็นงาน H/W Class II ,Near Miss
"ตรวจสอบ JSA พบมีการประเมินเรื่องงานทาสี พบมีการประเมินเรื่องการใช้ Mask 6003 ในการปฏิบัติงานทาสี 
พบคู่ร่วมธุรกิจกำลังทาสรไม่สวมใส่ Mask 6003 ตามที่ระบุใน JSA (สวมใส่เป็นผ้าปิดหน้าเท่านั้น",Near Miss
ไม่สวมใส่อุปกรณ์ที่ระบุใน JSA ให้ครบถ้วน,
พบมีการทำงานบนที่สูงพบคู่ร่วมธุรกิจออกนอกนั่งร้านและยืนทำงานบน Pipe นั่งร้าน แต่สวมใส่ Safety Harness และคล้องเกี่ยว (ผิดข้อกำหนดในการทำงานบนนั่งร้าน),Near Miss
พบถัง SCBA ที่เป็นอุปกรณ์ของทีม Rescue ไม่ผ่านการตรวจสภาพ,
ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 หัวข้อที่ 5 มีการติ๊กข้อมูลว่าผ่าน โดยข้อมูลไม่ตรงกับหน้างาน ควรติ๊กว่าไม่เกี่ยวข้อง,Near Miss
ตรวจสอบพบ JSA ขาดการตรวจสอบโดย Safety Lead ในงานบนที่สูง โดย JSA มีระบุครบแต่ขาดการประเมินก่อนเริ่มทำงาน,Unsafe Condition
ตรวจสอบพบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 ตรวจสอบพบข้อที่ 5 มีการตรวจสอบไม่ตรงกับหน้างานและมีการติ๊กข้อมูลที่ผ่านการตรวจสอบ (ที่ถูกควรติ๊กข้อมูลในช่องที่ไม่เกี่ยวข้อง),Near Miss
ไม่สวม? ppe.ถุงมือป้องกันการบาดเจ็บ,
ตรวจสอบJSA ไม่มีการประเมินความเสี่ยงเรื่อง การถอดประกอบPIPE & safety valve,Near Miss
ตรวจพบ อุปกรณ์พัดลม Blower  ที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,Unsafe Condition
ตรวจสอบ JSA พบ Safety Lead ไม่ตรวจสอบมาตราการหน้างาน,Unsafe Condition
"ตรวจสอบ Safe Work Certificate พบการทำงานที่ไม่ตรงกับเอกสารที่ตรวจสอบ
- ข้อที่ 5,9,10,11 ตรวจสอบแบบไม่ได้อ่านข้อมูลในเอกสาร
 ",Unsafe Condition
ตรวจสอบเอกสาร Safe Work Certificate มีการตรวจสอบในหัวข้อที่ 5 ซึ่งไม่ตรงกับจุดทำงานจริง,Near Miss
"ตรวจสอบเอกสาร JSA พบขาดการประเมินในหัวข้อที่ 5 
5.1,5.2 
มีการปฏิบัติงานแล้ว",
ไม่ลงข้อมูลใน JSA ช่อง 6.1 ตรวจสอบมาตรการหน้างาน,Unsafe Condition
ตรวจสอบเอกสาร Safe Work Certificate การปิดกั้นป้องกันลูกไฟหรือสะเก็ดไฟ ไม่พบผลการตรจสอบ,Unsafe Condition
ยังขาดการควบคุมหน้างานยังไม่ดี เนื่องจากพบว่ามีการขึ้นบนนั่งร้าน แต่ไม่ได้สวมใส่ Harness อุปกรณ์ป้องกันการตก,Near Miss
มีเอกสารการทำงานบนที่สูงแนบมากับ work permit แต่ไม่ลงข้อมูลในเอกสาร,Unsafe Condition
ไม่สวมใส่ Harness เมื่อขึ้นบนนั่งร้าน,
ไม่สวมใส่ Harness กันตก,
ตรวจสอบ JSA พบว่าไม่ได้ประเมินความเสี่ยงเกี่ยวกับการใช้เลื่อยไฟฟ้า ที่นำมาใช้งานที่หน้างาน,Near Miss
ตรวจสอบพบ Pressure Regulator ยังไม่ผ่านการตรวจสอบก่อนนมาใช้งาน,Near Miss
ตรวจสอบพบนั่งร้านใช้ Tag เขียว แต่หมดอายุการใช้ ,
ตรวจสอบพบเอกสาร Safe Work Certificate งานยก พบไม่มีการคำนวณในเอกสารให้ครบถ้วน(มีการปฏิบัติงานแล้ว),Unsafe Condition
ตรวจพบสิ่งของวางไม่เป็นระเบียบ ไม่ถูกต้องตามหลัก 5 ส.,
ตรวจพบจุดวางทินเนอร์ ไม่มี SDS ,
ตรวจสอบพบงานเจียร Grinding ไม่ใส่ Handle ขณะทำการเจียร ,
"ตรวจสอบเอกสาร Safe Work Certificate
SE-F-0189 Rev.007 งานที่ก่อให้เกิดประกายไฟ
พบการลงรายละเอียดส่วนที่ 3 ก่อนเสร็จงาน 30 นาที ตามเวลาดังรูป (ลงข้อมูลโดย Safety Lead ข้อมูลดังกล่าวต้องลงข้อมูลโดย Fire Watch)",Near Miss
ตรวจสอบพบเอกสารแนบ Safe Work Certificate ส่วน Work Permit ไม่มีการติ๊กข้อมูลข้อ 1.4 หัวข้อ งานบนที่สูง,Unsafe Condition
ตรวจสอบ Safe work Certificate งานที่สูง มีการตรวจสอบข้อมูลโดยเจ้าของงานก่อนเริ่มทำงาน ข้อที่ 5 ข้อมูลไม่ตรงกับหน้างานจริง,Near Miss
ตรวจสอบพบเอกสาร Safe Work Certificate งานบนที่สูง พบมีการตรวจสอบที่ไม่ตรงกับหน้างานรื่อง บันได A บันไดพาด,Near Miss
ตรวจสอบพบงานเชื่อม พบคู่ร่วมธุรกิจบริษัท ECE ผู้ช่วยช่างมีงานเชื่อมแต่ผู้ช่วยช่างไม่สวมใ่ Mask ป้องกันอันตรายจากฟูมงานเชื่อม,Unsafe Condition
ตรวจสอบพบมีการทำงานบนที่สูง แต่พบไม่การประเมิน JSA การทำงานบนที่สูง,
ตรวจสอบพบ Work Permit มีงานบนที่สูง แต่ขาดการลงข้อมูลในหัวข้อที่ 4 งานบนที่สูง,Unsafe Condition
ตรวจสอบพบมีการทำงานบนที่สูงแต่ขาดเอกสารแนบ Safe Work Certificate งานบนที่สูง,Unsafe Condition
ตรวจสอบพบ Work Permit ไม่ระบุข้อมูลลงในเอกสาร ไม่ติ๊กข้อมูลงานยกและงานบนที่สูง,Near Miss
ตรวจสอบพบมีการทำงานบนที่สูงแต่สน JSA ไม่พบการประเมินการทำงานบนที่สูง,
มีการทำงานบนที่สูงไม่พบเอกสาร Safe Work Certificate SE-F-0286 Rev.002 แนบ,Unsafe Condition
ตรวจสอบพบ Work Permit ไม่ระบุข้อมูลลงในเอกสาร ไม่ติ๊กข้อมูลงานยกและงานบนที่สูง,Near Miss
ตรวจสอบมีการทำงานบนที่สูงตรวจสอบเอกสาร JSA พบไม่มีการประเมินความเสี่ยงในการทำงานบนที่สูง,Unsafe Condition
พบการทำงานบนที่สูงบนนั่งร้านไม่สวมใส่ Safety Harness ,Unsafe Condition
ตรวจสอบเอกสาร Work Permit พบมีการลงทำงานในบ่อลึก 2 เมตร ถือว่าเป็นงานที่สูงไม่ติ๊กข้อมูลในหัวข้อ 1.4 งานบนที่สูง,HNM
ตรวจสอบเอกสารแนบ Safe Work Certificate SE-F-0286 Rev.002 งานบนที่สูง ไม่พบเอกสารแนบ,Unsafe Condition
"ตรวจสอบ JSA พบ Safety Lead ไม่ทำการตรวจสอบมาตราการก่อนเริ่มทำงานหัวข้อ 1.6  และทำการประเมิน JSA หัวข้อ 5.1,5.2 ใหม่เพราะงานมีความเสี่ยง",Near Miss
ตรวจสอบเอกสา Safe Work Certificate งานยก SE-F-0213 Rev.004 พบการตรวจสอบเอกสารในหัวข้อ 2.3 และ 2.5 มีการลงข้อมูลแต่หน้างานจริงไม่มีปฏิบัติ ,Unsafe Condition
ตรวจพบอุปกรณ์นั่งร้าน กองอยู่ไม่มีTag Barricade ไม่มีการปิดล้อมพื้นที่ด้วยธงขาวแดง,Near Miss
ตรวจสอบพบ Safety Lead ขาดการตรวจสอบมาตราการและลงข้อมูล โดยหน้างานมีการทำงานแล้ว,Unsafe Condition
"ตรวจสอบ JS พบ Safety Lead ขาดการประเมินในหัวข้อ 5 5.1,5.2 โดยหน้างานพื้นที่คับแคบและจุดทำงานมีความเสี่ยงจะต้องประเมินเพิ่ม",Near Miss
พบรถ Fork Lift ไม่ปฎิบัติตาม BBS ที่กำหนด     ( จอดรถปลดกุญแจ ),
มีการใส่Blind ที่Line Pipeเรียบร้อย แต่ไม่มีเอกสารตัดแยกระบบ ,
ผู้ปฏิบัติงานไม่ได้ล๊อคกุญแจ,
ยังไม่มีเอกสาร Blind list,
ยังไม่มี JSA,
ยังไม่มีเอกสาร,
ตรวจสอบแล้วไม่มีการแนบเอกสาร WAH,
มีช่องเปิด ตรงทางลง แต่ไม่มีการปิดล้อมพื้นที่,
ตรวจสอบแล้ว ผู้ปฏิบัติงานบนที่สูงไม่ได้ Health check ก่อนเริ่มทำงาน และไม่มีใบบันทึกผลHealth check,Near Miss
"ตรวจสอบเอกสา JSA พบหัวข้อ 5 และ 5.1,5.2 ไม่พบการวิเคราะห์ในเอกสาร",
"ตรวจสอบ JSA พบขาดการวิเคราะห์ในหัวข้อที่ 5 และ 5.1,5.2 และพบ Permit Requester และ File VerIfier ยังไม่เซ็นเอกสารตรวจสอบมาตราการ",
ตรวจสอบเอกสาร Safe Work Certificate งานบนที่สูงไม่พบการตรวจสอบและลงข้อมูล,Unsafe Condition
ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ติ๊กข้อมูลลงใน Work Permit หัวข้อ 1.4 งานบนที่สูงแต่พบเอกสาร Safe Work Certificate แนบ,Near Miss
มีการปิดกั้นพื้นที่แต่ไม่มีป้ายติดพื้นที่ปฏิบัติงาน,Unsafe Condition
"มีถุงใส่ผ้าซับนำมันล้นออกมานอก bund , และมีคราบน้ำมันนอก bund , มีน้ำมันหกอยู่ใน bund หน้าห้อง oiler ที่ไม่มีหลังคาคลุม เมื่อฝกตกน้ำขังจะทำให้คราบน้ำมันล้นออกมาภายนอกได้",Near Miss
พบก้อน polymer วางอยู่ตรงจุดที่มีงานตัดซึ่งเป็นงาน hot work class I ซึ่งเป็นวัสดุติดไฟ ,Near Miss
การตรวจสภาพหน้างานยังไม่ดีพอ ยังพบก้อน polymer ที่ติดไฟได้อยู่ในพื้นที่,
งานประกอบหน้าแปลนผู้ปฏิบัติงานอยู่ในตำแหน่ง line of fire ถ้าค้อนหลุดมือจะโดนผู้ปฏิบัติงานที่อยู่ด้านตรงข้ามได้,Near Miss
"ผู้ปฏิบัติงานไม่ปฎิบัติตามมาตรการที่กำหนดไว้
ใน JSA (ไม่สวมใส่อุปกรณ์ป้องกันดวงตา )",Unsafe Condition
"ตรวจพบสเก็นที่ใช้งานกับสลิงกระเช้ายกของ ยังไม่ผ่านการตรวจสภาพ
 ( Tag ยังเป็นของเดือนมีนาคม-สีเขียว )",Near Miss
"ตรวจสอบงาน Lifting By Crane 70 ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
เดิม SE-F-0213 Rev.002
ใหม่ SE-F-0213 Rev.004",Near Miss
ไม่มีผู้ควบคุมไฟฟ้าที่หน้างาน,
มีการทำงานบนนั่งร้านสูงเกิน 1.8 เมตร แต่ผู้ขออนุญาตไม่ได้แนบเอกสาร WAH Certificate ,Unsafe Condition
ตรวจสอบพบว่า ฝาเพดานชำรุด อาจล่วงหล่น โดนคนด้านล่างได้ (เจ้าของพื้นที่แจ้งงานซ่อมกับGAแล้ว),Near Miss
ใน JSA มีการประเมินที่ไม่ครอบคลุม เนื่องจากไม่มีการประเมินเกี่ยวกับทำงานที่สูง และ เครื่อง Water Jet ที่เป็นอุปกรณ์ไฟฟ้า,Unsafe Condition
ประเมินไม่ครบ,
ประเมินไม่ครบ,
ไม่มีการสวมใส่อุปกรณ์,
ไมีมีการลงข้อมูลการตรวจสอบใน JSA,
"บริเวณจุด Loadอุปกรณ์ป้องกันการตก สติ๊กเกอร์ตรวจสภาพหมดอายุ
( สีน้ำตาลของเดือนเมษายน )",Near Miss
"บริเวณจุดเปลี่ยนแบตฯ อุปกรณ์ช่วยยก
 สติ๊กเกอร์ตรวจสภาพหมดอายุ
( สีน้ำตาลของเดือนเมษายน )",Near Miss
มีการทำงานบดอัดดินด้วยเครื่องตบดิน แต่ไม่ได้ระบุลักษณะงาน และเครื่องมือที่ใช้ บนwork permit,Near Miss
เจ้าของพื้นที่ไม่ลงชื่อปิด work permit เมื่องานเสร็จสิ้น,
Tag ตรวจสอบsafety harness ยังไม่อัพเดทเป็นTag ปัจจุบัน,Unsafe Condition
