Details,Type of finding
"ตรวจสอบ Lifting By HIAB 8 Ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
- เดิม SE-F-0213 Rev.002
- ใหม่ SE-F-0213 Rev.004",Unsafe Condition
ตรวจสอบพบ JSA ข้อ 5.1 ขาดการประเมิน,
"ตรวจสอบ Work Permit พบ 
หัวข้อ 1.2 (จำนวนคนทำงาน)และ
หัวข้อ 1.3 (ไม่ลงชื่อ Safety Lead)",Near Miss
ตรวจสอบเอกสารงานยก SE-F-0213 Rev.004 พบมีการทำงานยกแต่ไม่ลงข้อมูลการคำนวณงานยกก่อนเริ่มงาน,Unsafe Action
ตรวจสอบ JSA พบหัวข้อ 5  5.1 และ 5.2 ประเมินการทำงานไม่ตรงกับหน้างานจริง มีการมุด มีการปีน ลอด ,Near Miss
"ตรวจสอบ JSA พบหัวข้อ 5 5.1 และ 5.2 ประเมินการทำงานไม่ตรงกับหน้างานจริง มีการมุด มีการปีน ลอด
",Near Miss
ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ลงข้อมูลในหัวข้อ 1.4 งานบนที่สูง ,Near Miss
ตรวจสอบการทำงานพบมีการทำงานบนที่สูง ตรวจสอบ Safe work certificate งานบนที่สูงพบไม่มีการตรวจสอบในเอกสารและเซ็นเอกสารโดย Permit Requester,Near Miss
ไม่มีการปิดล้อมพื้นที่ แขวนป้ายเตือน ,Unsafe Condition
ตรวจพบรถบรรทุกพัสดุ ที่กำลังขนถ่ายพัสดุ ไม่หนุนที่รองล้อรถ,Unsafe Condition
ตรวจสอบพบวิธีการล้อมผ้ากันไฟ ไม่เป็นไปตามข้อกำหนด (ตามรูป) มีงานเชื่อมการล้อมผ้าไม่สามารถป้องกันแสงจากงานเชื่อมได้ ล้อมต่ำกว่าจุดงานเชื่อม,Near Miss
ตรวจสอบพบ Safe Work Certificate มีการตรวจสอบมาตราการเรียบร้อยแต่ ส่วนที่ 1 การขออนุญาต,Unsafe Condition
ตรวจสอบ Work Permit หัวข้อ 1.4 งานบนที่สูงไม่ทำการติ๊กข้อมูลให้ครบตามเอกสารแนบ,Near Miss
ตรวจสอบเอกสาร Safe Work Certificate พบไม่การลงข้อมูลในหัวข้อที่ 5 และ หัวข้อที่ 15 ,
ตรวจสอบ JSA ไม่พบการประเมินความเสี่ยงการทำงานบนที่สูง,Unsafe Condition
ตรวจสอบ Work Permit พบการขนย้ายของโดยรถยนต์แต่ Work Permit เปิดเป็นงาน Cold Work  ,Near Miss
ตรวจสอบ Safe Work Certificate ขาดการตรวจสอบมาตราการและลงข้อมูลทั้งหมด ,Unsafe Condition
ตรวจสอบ Work permit มีการลงข้อมูลในใบอนุญาตทำงานไม่ครบถ้วน ไม่เขียนชื่อ ผู้ขออนุญาตทำงานทำงานใน Work permit,Unsafe Action
ตรวจสอบไม่พบเอกสารการตรวจสุขภาพผู้ปฎิบัติงาน,
ประเมินไม่ครบถ้วน,
ประเมินในjsaไม่ครบถ้วนถึงการใช้หินเจียร,
ประเมินใน JSA ไม่ครบ,
มีคราบน้ำมันบนพื้นทางเดิน,
ประเมินไม่ครอบคลุม,
ไม่มีเอกสารงานขุดแนบกับ work permit,
ปิดล้อมพื้นที่ด้วยท่อ pvc  ที่ไม่ใช่  hard barricade,Unsafe Condition
ทำงานหุ้ม Insulation แต่ไม่สวมใส่อุปกรณ์ป้องกันระบบทางเดินหายใจ ( N 95 )ตาม JSA ที่กำหนด,Near Miss
ตรวจสอบพบ Grinder ขัดพนัง พบขาด Handle อันตราย,Unsafe Condition
"ตรวจสอบ JSA งาน Chemical Cleaning พบมีการประเมินความเสี่ยงไม่ครบกับวิธีปฏิบัติงาน 
- งาน Hydro Test 
- งานเติมสารเคมี 
- งานจัดเก็บสารเคมีกรณีรั่วไหล การเตรียมชุด Spill Kit ",Near Miss
ตรวจสอบชุด Spill Kit พบ Mask 6006 ใกล้หมดอายุในการใช้งานและแว่น Goggle สภาพไม่พร้อมใช้งาน และกล่องยาตรวจสอบพบยาแก้แพ้และทิงเจอร์,Near Miss
พบมีการทำงานบนที่สูงเกิน 1.8 เมตร มีการสวมใส่ Safety Harness แต่ไม่คล้องเกี่ยวกับจุดที่ปฏิบัติงาน,Near Miss
ตรวจสอบพบ Grinder กำลังปฏิบัติงานพบไม่สวมใส่ Handle ,Unsafe Condition
ผู้ขออนุญาตไม่ได้กำหนดมาตรการ เรื่องการใช้อุปกรณ์ PPE ตามลักษณะงาน,Near Miss
safety lead ไม่ตรวจสอบมาตรการที่หน้างาน แต่ได้เริ่มงานไปแล้ว,HNM
ตรวจสอบBund No.7 พบป้ายแสดงประเภทwaste ซืดจาง มองไม่ชัด,Unsafe Condition
ไม่มีการปิดล้อมพื้นที่ ไม่มี Barricades Tag ,
ตรวจสอบ Work Permit หัวข้อ 1.4 หัวข้อ งานที่มีความร้อนและประกายไฟ มีการติ๊กข้อมูลแต่ไม่มีเอกสาร Safe Work Certificate แนบ (Work Permit เปิดเป็นงาน Class II),HNM
ตรวจสอบเอกสาร Safe Work Certificate งานที่มีความร้อนและประกายไฟ พบ Permit Requester ไม่ลงข้อมูลการรับรองตามข้อกำหนด หัวข้อที่ 3,Near Miss
เครื่อง Air Com พบสายลมมีการใช้ Safety Sling มีการรัดสายที่ไม่ถูกวิธี มีการัดสายที่ระยะการสะบัดหลุดอันตราย,Near Miss
พบมีการนำน้ำมันหล่อลื่นใส่ในขวดน้ำดื่ม,
"1.	Safety lead ที่ควบคุม งานยก งานที่สูง ขึ้นทะเบียนแล้วแต่ไม่ได้ Update สติ๊กเกอร์ให้เป็นปัจจุบัน สติ๊กเกอร์หมดอายุตั้งแต่วันที่ 17/3/65 ซึ่งผิดมาตรฐาน SD-SF-S-0007 มาตรฐานกำหนดบทบาทบุคคลสำคัญในระบบอนุญาตทำงาน",Near Miss
มีการทำงานบนที่สูง แต่ผู้ขออนุญาตไม่ได้ตรวจสอบมาตรการความปลอดภัยในแบบฟอร์มตรวจสอบการป้องกันการตกจากที่สูง (SE-F-0286) ซึ่งผิดมาตรฐาน SE-O-0025 Rev.005_มาตรฐานความปลอดภัยในการปฏิบัติงานบนที่สูง (Working at Height),HNM
มีงานยกด้วยรถขยุ้มเหล็ก แต่ผู้ขออนุญาตไม่ได้กรอกรายละเอียดLifting Plan ซึ่งผิดมาตรฐาน SD-SF-S-0012 Lifting Work Safety Standard ,Near Miss
พบเก้าอี้ชำรุด ล้อเลื่อนเสียหาย,
ตรวจสอบพบเครื่อง Generator ไม่พบผู้เฝ้าระวัง ตามข้อกำหนด ที่เครื่องมีติดชื่อผู้รับผิดชอบแต่ไม่ได้เข้ามาทำงาน,Near Miss
ผู้ขออนุญาตกำหนดมาตร PPE ไม่ครบ ตามลักษณะงาน,Unsafe Condition
มีการทำงานบนที่สูงเกิน 1.8 เมตร แต่ผู้ขออนุญาตไม่ได้ประเมินความเสี่ยงเรื่องการทำงานบนที่สูง,Near Miss
มีถุงจัดเก็บเศษวัสดุ กีดขวางอุปกรณ์ฉุกเฉิน,Unsafe Condition
พบเก้าอี้ชำรุด ขาหัก ไม่ติดป้ายห้ามใช้,
ตรวจสอบ PPE งานติดตั้งนั่งร้าน ถุงมือ สภาพไม่พร้อมใช้งาน Mask หมดอายุ เกิน 5 ปี,Unsafe Condition
ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ MASK ที่ป้องกันอันตรายจาก ฟูม งานเชื่อม,Unsafe Condition
ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ MASK ที่ป้องกันอันตรายจาก ฟูม งานเชื่อม,Unsafe Condition
ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการก่อนเริ่มทำงาน,
เครื่อง Air Com พบสายลมมีการใช้ Safety Sling มีการรัดสายที่ไม่ถูกวิธี มีการัดสายที่ระยะการสะบัดหลุดอันตราย,Near Miss
พบจุดวางถังอาร์กอนงานเชื่อมด้านล่างไม่มีการปิดกั้นพื้นที่,Near Miss
ตรวจสอบพบเครื่องดูดฝุ่นที่นำมาใช้ ตรวจสภาพแล้ว แต่สติ๊กเกอร์ตรวจสภาพยังไม่เป็นปัจจุบัน ,Near Miss
PPE ป้องกันการหายใจ ระบุมาตรการไม่สอดคล้องกับJSA  และสารเคมีใช้ในการทำงาน,Unsafe Condition
ผู้ปฏิบัติงานยืนทาสีบนโครงสร้างเหล็กเส้นที่ไม่มั่นคง แข็งแรง มีโอกาสพลัดตก เนื่องจากจุดยืนไม่ใช่อุปกรณ์ สำหรับนำมาใช้ในการทำงานบนที่สูงตามมาตรฐาน SE-O-0025 Rev.005_มาตรฐานความปลอดภัยในการปฏิบัติงานบนที่สูง (Working at Height) ,Near Miss
ตรวจสอบพบ Regulator มีการใช้งานแต่ยังไม่ได้ตรวจสอบออกสติกเกอร์ ,
ตรวจสอบพบการทำงานยาแนง Silicone พบคู่ร่วมธุรกิจไม่สวมใส่ MASK (R-95) เพราะ Silicone อันตรายเพราะเป็นกรด และไม่สวมใส่แว่นตา ขณะปฏิบัติงาน,Near Miss
ตรวจสอบ JSA พบข้อ 5 ขาดการตรวจสอบและประเมิน,
ตรวจสอบพบนั่งร้าน TAG นั่งร้านหมดอายุ ยังไม่ได้ Update 07-14/05/65,
ตรวจสอบพบงานเจียร์พบคู่ร่วมธุรกิจกำลังใช้งาน Grinder 4 นิ้ว ไม่ใส่ Handle (ตามรูปแนบ),Unsafe Condition
พบเครื่องตบดิน ตะแกรงครอบท่อสภาพชำรุด,
ตรวจสอบพบงานเจียร์แต่งปูนพบ Grinder 4 นิ้ว พบไม่สวมใส่ Handle และไม่มีการล้อมพื้นที่ป้องกันฝุ่น,Unsafe Condition
ตรวจสอบพบ JSA หัวข้อที่ 5 ขาดประเมินการทำงาน และหัวข้อที่ 6 Safety Lead ขาดการตรวจสอบและเซ็นเอกสาร,Unsafe Condition
ปิดกั้นพื้นที่แต่ไม่มีป้ายชี้บ่ง,
"ตรวจสอบ Work Permit หัวข้อที่ 4 ขาดการตรวจสอบตามเวลาและลงข้อมูล ตามหัวข้อที่ 2 ตรวจสอบ LEL ทุก 2 ชั่วโมง 
และตรวจสอบหน้างานทุกๆ 2 ชั่วโมง ขาดการตรวจสอบ",Near Miss
ยกอุปกรณ์เครื่อง Genฯ เรียบร้อย แต่ไม่มีการตรวจสอบตามรายละเอียดใน JSA,Unsafe Action
จักรยานชำรุด ไม่มีป้ายบอกสถานะบ่งชี้  ,
ไม่มีป้ายสำหรับที่จอดจักรยาน,
เอกสารแบบฟอร์มรับรองการปฏิบัติตามข้อกำหนดการป้องกันการตกจากที่สูง ไม่อัพเดท ,Unsafe Condition
"JSA ประเมินไม่ครอบคลุม 
(ไม่มีการประเมินเรื่องสารเคมีใน จุดที่ปฎิบัติงาน )",
"มีการตัดแยกระบบที่หน้างาน และระบุในJSA 
 แต่work permit ไม่มีเลขLOTO",Unsafe Condition
ไม่มีการใช้หินเจียร์ที่หน้างาน แต่safety lead ตรวจสอบมาตรการว่ามีการใช้,Unsafe Condition
safety latch ขอตะขอยก หลุดออกจากตัวตะขอ เวลายกของ สลิงอาจหลุดออกจากตะขอได้ ,Unsafe Condition
บันไดเลื่อน ผ่านการตรวจสภาพแล้ว แต่Tag ตรวจสอบอุปกรณ์ไม่อัพเดท,Unsafe Condition
ตรวจสอบพบ Safe Work Certificate SE-F-0286_Rev.002 งานบนที่สูง พบรายการตรวจสอบข้อที่ 9 และ 10 การทำงานบนบันไดทรง A,Unsafe Condition
"ตรวจสอบพบชุด ARGON บนรถพบการใช้งานอยู่ตรวจสอบพบไม่มีอุปกรณ์เสริมเช่น น้ำยา Test Leak , ประแจเบอร์ , เทปพันเกลียว ",Near Miss
ตรวจสอบพบ Safe Work Certificate SE-F-0286_Rev.002 พบขาดการตรวจสอบเอกสาร ,
ตรวจสอบงานทาสีพบคู่ร่วมธุรกิจกำลังทาสีการ์ดเครื่องจักร M-301 พบไม่สวมใส่ Mask ที่ถูกต้องมีระบุใน JSA แต่ไม่ปฏิบัติตาม,Near Miss
พบการปฏิบัติงานโดยใช้เครื่องตัดพื้นปูนพบไม่ล้อมพื้นที่ป้องกันและไม่สวมใส่อุปกรณ์ป้องกันการได้ยิน Ear Muff โดยมีระบุใน JSA แต่ไม่ปฏิบัติตาม,Unsafe Condition
ตรวจสอบพบ Grinder 7 นิ้ว พบสภาพอุปกรณ์ไม่พร้อมใช้งานโดยมีลวดเชื่อมมาขัดกับการ์ดเพื่อขัดให้แน่น อันตราย,Unsafe Condition
ประเมิน JSA ไม่ครอบคลุม,
"ประเมิน JSA ไม่ครอบคลุม
 ( เนื่่องจากมีการนำรถเข็นมาใช้งาน )",
รถเข็นที่นำมาใช้งานล้อยางสภาพไม่พร้อมใช้งาน,Unsafe Condition
พบไม่การปิดกั้นและปิดล้อมพื้นที่ตามมาตรการ,
ลงข้อมูลไม่ครบ (ไม่มีงานที่สูง ),
"ประเมิน JSA ไม่ครอบคลุม 
( ไม่มีประเมินเรื่องพืันที่ติดตั้งรถ )",
พบแผ่นรองขาช้างไม่ได้มาตรฐาน,
ไม่มีแนบเอกสารงานที่สูง,
ตรวจสอบเอกสารพบเอกสารใบเซอร์ของผู้ให้สัญญาณและผู้ผูกยึดหมดอายุ,
ไม่มีการปิดล้อมพื้นที่และป้ายชี้บ่ง,
"ตรวจพบพื้นถนนบริเวณทางออกติดแนวรรั้วลานจอดรถ HD-2 ,3 สภาพชำรุด",Near Miss
ตรวจสอบพบงานทาสีพบคู่ร่วมธุรกิจไม่สวมใส่ Mask R95 8247 ป้องกัน (ตามรูป),Unsafe Condition
ตรวจสอบพบคู่ร่วมธุรกิจขึ้นทำงานบนที่สูงโดยออกจากนั่งร้านและทำงานบน Line Pipe อันตรายอาจจะพลาดตกจากที่สูง,Near Miss
JSA ไม่ได้ประเมินความเสี่ยงเกี่ยวกับอุปกรณ์ที่นำมาทำงาน คือไม่ได้ประเมินเรื่องการใช้กรรไกร เสียม มีดดายหญ้า,Unsafe Condition
พบป้ายขั้นตอนการใช้โฟมดับเพลิง ซีดจาง,Unsafe Condition
ตรวจสอบพบ MASK ตัวที่เป็นหน้ากากหมดอายุการใช้งานสภาพและเดือนและปีหมดอายุ,Unsafe Condition
ตรวจสอบพบการผูกมัดอุปกรณ์ Monorail มีน้ำหนักการมัดด้วย Sling มีการบิดตัว (ตามรูป) จุดบิดตัวจะเป็นจุดรับหนักมากอาจจะทำให้ Sling เสียหายและอาจจะทำให้ขาดได้,Near Miss
ตรวจสอบ work permit ไม่มีการลงรายละเอียดการ Lock ระบบ LO/TO ซึ่งไม่สอดคล้องกับเอกสารเจ๊เอที่แนบมา,
ตรวจพบข้อ 2 งานถอดเปลี่ยนอุปกรณ์มาตรการความปลอดภัยไม่ชัดเจน,Unsafe Condition
ตรวจสอบ work permit พบว่ามีแต่ข้อมูลของงานแก้ไขหลังคาของคู่ธุรกิจเจ้นจันทร์ แต่ไม่มีรายละเอียดของคู่ธุรกิจบริษัทแม็กซิโม่ที่มารือนั่งร้าน,Unsafe Condition
พบมีการทำงานรื้อนั่งร้านแต่ใน jsa ไม่มีการตรวจสอบมาตรการหน้างาน,Unsafe Condition
safety lead ไม่ตรวจสอบมาตรการหน้างาน ข้อที่ 6.1 ในลักษณะการทำงานบนที่สูง แต่งานได้ทำไปแล้ว,Unsafe Condition
ผู้ขออนุญาต มีงานยกแต่ไม่ระบุCerticate งานยก / ไม่ระบุชื่อ safety lead / มีการทำLOTO แต่ไม่ระบุ Lock box number,Near Miss
จุดวางอุปกรณ์การทำงานของส่วนซ่อม ปิดล้อมพื้นที่แล้ว แต่ไม่มี barricade tag,Near Miss
ตรวจสอบพบมีการทำงานยาแนว Silicone พบคู่ร่วมธุรกิจไม่สวมใส่ MASK และถุงมือยางโดย PPE ระบุในเอกสารหัวข้อ 1.6 Work Permit และหะวข้อที่ 4 ตรวจสอบหน้างาน พบ Field Verifier ไม่ตรวจสอบตามเวลา,Near Miss
ตรวจสอบ JSA พบมีการทำงานยาแนว Silicone พบมีการลงข้อมูลตรวจสอบ (ไม่เกี่ยวข้อง) แต่มีการปฏิบัติงาน,Unsafe Action
ตรวจสอบ Work Permit พบหัวข้อ 4 ตรวจสภาพงานตามเวลา Field Verifier ไม่มาตรวจและลงเวลาช่วงเวลาที่ 3,Near Miss
ตรวจอบพบมีการเทปูน พบผู้ปฏิบัติงานไม่สวมใส่ PPE (ถุงมือยาง) ตามที่ระบุใน JSA ,Unsafe Condition
ตรวจสอบพบมีการปฏิบัติงานบนบันได A พบเอกสาร Safe Work Certificate SE-F-0286_Rev.002 งานบนที่สูง ขาดการประเมินมาตราการ,Unsafe Condition
"Safety lead ลงชื่อการตรวจสภาพงานเป็นไปตามมาตรการที่กำหนดในระหว่างการปฏิบัติงานล่วง ก่อนเวลาจริง (Audit เวลา 11:20 แต่ลงเวลาตรวจสอบ 11:30 , 13:30 น. ไว้แล้ว )",Near Miss
ตรวจสอบเอกสาร JSA พบขาดการประเมินมาตราการ JSA ในงานที่กำลังปฏิบัติ,
ประเมิน JSA ไม่ครอบคลุม เนื่องจากตรวจพบมีการนำน้ำยาหยอดตอไม้มาใช้งาน และ ยังนำน้ำยาใส่ไว้ในขวดน้ำ โดยไม่มีป้ายบ่งชี้ใดๆ,Near Miss
ไม่มีการปิดล้อมพื้นที่ ไม่มี barricade tag,
ตรวจพบมีการสวมใส่อุปกรณ์กันตกแต่ไม่คล้องเกี่ยว,Unsafe Condition
"ตรวจพบเบรคล้อ Stan สำหรับขึ้นไปปัดฝุ่นถุง Big Bag สภาพชำรุด 
( กด Lock ลงแต่ไม่สามารถ Lock ได้ )",Unsafe Condition
"ตรวจพบถังสีวางไว้ข้างลังเครื่องมือ โดยไม่มีภาชนะใส่เพื่อป้องกันการหก,รั่วไหล",Unsafe Condition
ไม่มีการปิดล้อมพื้นที่ ไม่มี barricade tag,
ฝาครอบรางระบายน้ำแตก ( ข้างอาคาร Bagging PP ),
Diamond sign AT Catalyst House สภาพซีดจาง ,
บริเวณบ่อ API ป้ายแสดงจุดถังดับเพลิง ซีดจาง ,
รถ JCB ของ บ. ศรีนิธิรินทร์ ที่เข้ามาปรับดิน สายโอริงน้ำมันไฮดรอลิครั่วไหลลงพื้น,HNM
พบปลั๊กไฟพ่วงที่นำมาใช้งานไม่มีสติผีกเกอร์ผ่านการตรวจสภาพ,Unsafe Condition
ตรวจสอบพบมีงานยกเรียบร้อยแต่ Safe Work Certificate งาน Lifting ขาดการลงข้อมูล ก่อนเริ่มงาน และเอกสารไม่ Update เป็น SE-F-0213 Rev.004 พร้อมเอกสารการอบรมหมดอายุ,Unsafe Condition
ตรวจสอบพบเอกสาร Safe Work Certificate พบเป็นเอกสาร TPC เข้ามาใช้งานในพื้นที่ TPE ,Unsafe Condition
ไม่สวมใส่เสื้อสะท้อนแสงตามตำแหน่งหน้าที่ๆกำหนด,Unsafe Action
พบผู้ช่วยผลิตโหลดสารเคมี สวมใส่อุปกรณ์ป้องกันการหายใจเป็นหน้ากากอนามัยทั่วไป ซึ่งไม่ตรงกับPPEใน SDS ที่ระบุไว้ที่หน้างาน SDSระบุต้องสวมใส่ หน้ากากกรองสารเคมี ไส้กรองสารละลายอินทรีย์ (ตลับกรองสีน้ำตาล),Unsafe Condition
ตรวจพบเครื่องวัดความดันโลหิต Calibration หมดอายุแล้ว ,
ตรวจสอบพบ safe Work Certificate  SE-F-0337Rev.000 รับรองการตรวจสอบหน้างาน ของ Safety Lead ไม่เซ็นเอกสารการรับรอง,Unsafe Condition
ตรวจสอบเอกสาร Work Permit เซ็นเอกสารมาตราการไม่ครบตามเวลา ทุกๆ 4 ชั่วโมง,
ตรวจสอบเอกสารใบขออนุญาต( Work Permit ) ไม่มีลงข้อมูลการ Lock Lo/To ซึ่งไม่สอดคล้องกับ JSA ที่ประเมินมา,Near Miss
ตรวจสอบเอกสารใบขออนุญาต( Work Permit ) ไม่มีลงข้อมูลการ Lock Lo/To ซึ่งไม่สอดคล้องกับ JSA ที่ประเมินมา,Near Miss
ประเมิน JSA ไม่ครอบคลุม และ สอดคล้องกับการทำงาน,
ตรวจสอบเอกสาร JSA พบหัวข้อที่ 8 พบ Safety Lead และผู้ปฏิบัติงานไม่มีการเซ็นเอกสารรับทราบการสื่อสารรายละเอียดของ JSA ,Near Miss
ตรวจสอบเอกสาร Work Permit เซ็นเอกสารมาตราการไม่ครบตามเวลา ทุกๆ 4 ชั่วโมง,
ตรวจสอบเอกสาร Safe Work Certificate SE-F-0337Rev.000 หัวข้อ 13 กรณี Jet แบบแส้ หรือ Tube ต้องมีการจัดทำ Warning tape พบมีการทำถูกต้องแต่ลงเอกสารว่าไม่เกี่ยวข้อง,Unsafe Condition
ตรวจสอบเอกสาร JSA พบมีการเขียนรายละเอียดการทำงานการสวมใส่ Mask N95 และ Face Shield ขณะปฏิบัติงานขัด พบไม่ได้สวมใส่ขณะปฏิบัติงาน,Unsafe Condition
PPE ป้องกันใบหน้าและตา ไม่มีกระบังหน้าใส ไม่สอดคล้องกับลักษณะงานที่ทำ (ใช้หินเจียร์) และJSA ที่ประเมินไว้,Unsafe Condition
ตรวจสอบพบคู่ร่วมธุรกิจไม่ปฏิบัติหน้าที่ตาม Safe Work Certificate SE-F-0337Rev.000 หัวข้อที่ 15 ผู้ปฏิบัติงานฉีดน้ำ Water Jet และผู้ควบคุม Foot Valve ต้องเป็นคนเดียวกัน,Near Miss
พบกองไม้พาเลทกีดขวางอุปกรณ์ฉุกเฉินและทางเข้าออก ,Unsafe Condition
ไม่ระบุ PPE ที่ใช้ ให้สอดคล้องตามลักษณะงาน และที่ระบุใน JSA,Unsafe Condition
ปิดล้อมพื้นที่แล้ว แต่ไม่มี barricade tag,
ตรวจสอบเอกสาร Work Permit พบไม่ลงข้อมูล LOTO ทวนสอบที่กล่องล๊อคบล๊อค LOTO ล๊อคครบ,Near Miss
ตรวจสอบพบ Grander 4 นิ้ว พบมีการทำงานแต่ไม่สวมใส่ Handle ,
ตรวจสอบพบมีการทำงานบนที่สูงพบคู่ร่วมธุรกิจไม่คล้องเกี่ยว Safety Harness ,Unsafe Condition
ตรวจสอบพบ Work Permit พบหัวข้อที่ 4 ตรวจสอบสภาพหน้างานตามเวลา พบไม่มีการตรวจสอบโดย Permit Requester และพบ Permit Requester  ไม่เซ็นเอกสาร แต่พบเป็นพนักงานท่านอื่นเซ็นแทน,Near Miss
ตรวจสอบ JSA ที่นำมาใช้เป็น JSA ของ SCG CHEMICALS มาใช้ในพื้นที่ TPE โดย JSA ของ TPE เป็นเอกสาร HS-F-0007 Rev.016,Unsafe Condition
ตรวจสอบพบ MASK ที่ใช้งาน หมดอายุ (ตามรูปแนบ) ปี 2015 MASK มีอายุ 7 ปี (MASK หมดอายุการใช้งาน 5 ปี และสภาพชำรุด),Near Miss
ตรวจสอบเอกสารมีการ มีการกำหนด Lock Box แต่ไม่มีลงข้อมูล,Near Miss
ตรวจพบตัวคีบกราวด์สภาพชำรุด,
"ประเมิน JSA ไม่ครอบคลุม
 (ไม่มีประเมินขนย้ายอุปกรณ์ทางบันได )",
ตรวจสอบเอกสารงานยกพบว่าทีมงานไม่เข้าใจในข้อกำหนดของ 4 ผู้ และ  ประเมินมาตรการข้อ 2.7 ไม่ครบถ้วน,Unsafe Condition
ตรวจสอบ Work Permit พบ หัวข้อ 1.4 พบไม่มีการติ๊กข้อมูล งานที่มีความร้อนและประกายไฟ และงานบนที่สูง และหัวข้อที่ 4 ตรวจสอบหน้างานตามเวลาที่กำหนด ,HNM
ตรวจสอบ JSA พบมีการระบุถึง หินเจียร์ 4 นิ้ว ต้องมีด้ามจับ (Handle) พบผู้ปฏิบัติงานไม่สวมใส่ Handle ขณะปฏิบัติงาน,Near Miss
ตรวจสอบ Safe Work Certificate พบการลงข้อมูลไม่สัมพันธ์ กับการปฏิบัติงาน และตรวจสอบพบ Safety Harness cและบันไดทรง A ยังไม่ได้ผ่านการตรวจและออกสติกเกอร์,Near Miss
ตรวจสอบพบการกั้น Barricade ด้วย EURO Tape ที่ทำการยกเลิกการใช้งานเมื่อ 1 มีนาคม 63 ,Unsafe Condition
ตรวจพบในช่อง Permit Verifier มีการลงชื่อแทน การเซ็นต์ออนไลน์,Unsafe Action
