words,spell,correct,frequency
เเนว,['แนว'],แนว,7
เก้,['แก้'],แก้,3
เก็ด,['เก็ด'],เก็ด,3
เกต,['เกต'],เกต,3
เกตุ,['สังเกตุ'],เกตุ,2
เก็น,"['เก็บ', 'เก็บงาน', 'เก็บสี']",เก็บ,2
เก็บ,"['เก็บ', 'เก็บงาน', 'เก็บสี']",เก็บ,191
เก็บงาน,['เก็บงาน'],เก็บงาน,29
เก็บสี,['เก็บสี'],เก็บสี,2
เกร้า,['เกร้า'],เกร้า,3
เกลี่ย,['เกลี่ย'],เกลี่ย,70
เกลียว,['เกลียว'],เกลียว,10
เก่า,['เก่า'],เก่า,12
เก๊า,['เก่า'],เก่า,3
เกาะ,['เกาะ'],เกาะ,7
เกิด,"['เกิด', 'เกิดเหตุ', 'เกิดขึ้น']",เกิด,25
เกิดเหตุ,"['เกิด', 'เกิดเหตุ', 'เกิดขึ้น']",เกิดเหตุ,2
เกิดขึ้น,"['เกิด', 'เกิดเหตุ', 'เกิดขึ้น']",เกิดขึ้น,2
เกิน,"['เกิน', 'เกินไป']",เกิน,230
เกินไป,"['เกิน', 'เกินไป']",เกินไป,2
เกียร์,['เกียร์'],เกียร์,2
เกี่ยว,"['เกี่ยว', 'เกี่ยวกับ', 'เกี่ยวข้อง']",เกี่ยว,70
เกี่ยวกับ,"['เกี่ยว', 'เกี่ยวกับ', 'เกี่ยวข้อง']",เกี่ยวกับ,5
เกี่ยวข้อง,"['เกี่ยว', 'เกี่ยวกับ', 'เกี่ยวข้อง']",เกี่ยวข้อง,12
เกือบ,['เกือบ'],เกือบ,3
เข,['เขต'],เขต,8
เขต,['เขต'],เขต,5
เข็น,['เข็น'],เข็น,3
เข็ม,"['เข็ม', 'เข็มขัด']",เข็ม,31
เข็มขัด,"['เข็ม', 'เข็มขัด']",เข็มขัด,2
เขม่า,['เขม่า'],เขม่า,4
เขา,['เข้า'],เข้า,4
เขา,['เข่า'],เข่า,4
เข่า,['เข่า'],เข่า,4
เข่า,['เขม่า'],เขม่า,2
เข้า,"['เข้า', 'เข้าแบบ', 'เข้าใจ', 'เข้าไป']",เข้า,247
เข้าแบบ,['เข้าแบบ'],เข้าแบบ,439
เข้าใจ,['เข้าใจ'],เข้าใจ,3
เข้าไป,['เข้าไป'],เข้าไป,33
เข้ากับ,['เข้ากับ'],เข้ากับ,19
เข้างาน,['เข้างาน'],เข้างาน,12
เข้าทำงาน,['เข้าทำงาน'],เข้าทำงาน,6
เข้าที่,['เข้าที่'],เข้าที่,2
เข้ามา,['เข้ามา'],เข้ามา,36
เข้าหน้า,['เข้าหน้า'],เข้าหน้า,30
เข้าออก,"['เข้าออก', 'ขาออก', 'เข้ารอบ', 'เข้ารอย', 'เข้าฝัก', 'เข้าคอ']",เข้าออก,2
เขียน,['เขียน'],เขียน,2
เขียว,['เขียว'],เขียว,5
เค,['เค'],เค,3
เคเบิล,['เคเบิล'],เคเบิล,2
เคมี,['เคมี'],เคมี,55
เครน,['เครน'],เครน,24
เครียร์,['เคลียร์'],เคลียร์,13
เครือ,"['เครือ', 'เครื่อง']",เครื่อง,63
เครื่อง,['เครื่อง'],เครื่อง,114
เครื่องกลึง,"['เครื่องกลึง', 'เครื่องกล', 'เครื่องกรอง']",เครื่องกลึง,8
เครื่องคอมพิวเตอร์,['เครื่องคอมพิวเตอร์'],เครื่องคอมพิวเตอร์,6
เครื่องจักร,['เครื่องจักร'],เครื่องจักร,69
เครื่องปั่นไฟ,['เครื่องปั่นไฟ'],เครื่องปั่นไฟ,2
เครื่องมือ,['เครื่องมือ'],เครื่องมือ,156
เครื่องมือวัด,['เครื่องมือวัด'],เครื่องมือวัด,8
เครื่องยนต์,['เครื่องยนต์'],เครื่องยนต์,2
เครื่องวัด,['เครื่องวัด'],เครื่องวัด,8
เคลม,['เคลม'],เคลม,2
เคลียร์,['เคลียร์'],เคลียร์,6
เคลื่อน,['เคลื่อน'],เคลื่อน,2
เคลื่อนที่,['เคลื่อนที่'],เคลื่อนที่,2
เคลื่อนย้าย,['เคลื่อนย้าย'],เคลื่อนย้าย,20
เคลือบ,['เคลือบ'],เคลือบ,5
เคาะ,['เคาะ'],เคาะ,2
เคียง,['เคียง'],เคียง,2
เงิน,['เงิน'],เงิน,2
เจ,['เจาะ'],เจาะ,4
เจน,['เจนเนอร์เรเตอร์'],เจนเนอร์เรเตอร์,5
เจนเนอร์เรเตอร์,['เจนเนอร์เรเตอร์'],เจนเนอร์เรเตอร์,5
เจ้า,['เข้า'],เข้า,2
เจ้าของ,['เจ้าของ'],เจ้าของ,5
เจ้าของงาน,['เจ้าของงาน'],เจ้าของงาน,2
เจาะ,['เจาะ'],เจาะ,690
เจีย,['เจียร์'],เจียร์,18
เจียร,['เจียร์'],เจียร์,1264
เจียร์,['เจียร์'],เจียร์,1263
เจียระ,['เจียร์'],เจียร์,1
เฉี่ยว,['เฉี่ยว'],เฉี่ยว,2
เช็ค,['เช็ค'],เช็ค,157
เช่น,['เช่น'],เช่น,3
เช้า,['เช้า'],เช้า,5
เชือ,['เชื่อม'],เชื่อม,18
เชื่อ,['เชื่อม'],เชื่อม,18
เชื้อ,['เชื้อ'],เชื้อ,18
เชื้อเพลิง,['เชื้อเพลิง'],เชื้อเพลิง,3
เชือก,['เชือก'],เชือก,18
เชือกฟาง,['เชือกฟาง'],เชือกฟาง,2
เชือม,['เชื่อม'],เชื่อม,120
เชื่อม,['เชื่อม'],เชื่อม,1384
เชื้อม,['เชื่อม'],เชื่อม,200
เซนต์,['เซนต์'],เซ็น,2
เซ็นต์,['เซ็นต์'],เซ็นต์,2
เซลล์,['เซลล์'],เซลล์,342
เซาะ,['เซาะ'],เซาะ,10
เด็น,['เด็น'],เด็น,4
เดิน,['เดิน'],เดิน,138
เดินผ่าน,"['เดินผ่าน', 'เงินผ่อน']",เดินผ่าน,4
เดินรถ,['เดินรถ'],เดินรถ,2
เดินสาย,['เดินสาย'],เดินสาย,3
เดิม,['เดิม'],เดิม,21
เดียว,['เดียว'],เดียว,9
เดียวกัน,['เดียวกัน'],เดียวกัน,4
เดือน,['เดือน'],เดือน,2
เต,['เต็นท์'],เต็นท์,4
เต้น,['เต็นท์'],เต็นท์,2
เต้นท์,['เต็นท์'],เต็นท์,12
เต็นท์,['เต็นท์'],เต็นท์,6
เต็ม,['เต็ม'],เต็ม,2
เตรียม,['เตรียม'],เตรียม,62
เตรียมงาน,['เตรียมงาน'],เตรียมงาน,60
เตอรี่,['เตอรี่'],เตอรี่,2
เตา,['เตา'],เตา,93
เต้า,['เต้า'],เต้า,20
เต๋า,['เตา'],เตา,2
เติม,['เติม'],เติม,51
เติมน้ำมัน,['เติมน้ำมัน'],เติมน้ำมัน,47
เตือน,['เตือน'],เตือน,27
เท,['เท'],เท,27
เทคอนกรีต,['เทคอนกรีต'],เทคอนกรีต,157
เทนเนอร์,['เทนเนอร์'],เทนเนอร์,5
เทป,['เทปูน'],เทปูน,6
เทปูน,['เทปูน'],เทปูน,272
เท่า,['เท่า'],เท่า,4
เท้า,['เท้า'],เท้า,4
เท้า,['เท่า'],เท่า,3
เท่ากัน,"['เท่ากัน', 'เท่ากับ', 'เท่าทัน']",เท่ากัน,5
เท่ากับ,['เท่ากับ'],เท่ากับ,2
เที่ยงคืน,['เที่ยงคืน'],เที่ยงคืน,2
เทียบ,['เทียบ'],เทียบ,3
เน,['เน้น'],เน้น,3
เน้นย้ำ,['เน้นย้ำ'],เน้นย้ำ,2
เนิน,['เนิน'],เนิน,2
เนื่อง,['เนื่อง'],เนื่อง,2
เนื่องจาก,['เนื่องจาก'],เนื่องจาก,35
เบอร์,['เบอร์'],เบอร์,2
เบิด,['เบิด'],เบิด,2
เบิล,['เบิล'],เบิล,2
เบี่ยง,['เบี่ยง'],เบี่ยง,2
เบียด,['เบียด'],เบียด,6
เบื้อง,[เบื้อง'],เบื้อง,2
เบื้องต้น,['เบื้องต้น'],เบื้องต้น,5
เป็น,['เป็น'],เป็น,85
เป็นแนว,"['เป็นแนว', 'เป็นแดน']",เป็นแนว,2
เป็นไป,"['เป็นไป', 'เป็นไร', 'เป็นไฟ']",เป็นไป,2
เป็นไปตาม,['เป็นไปตาม'],เป็นไปตาม,7
เป็นงาน,"['เป็นงาน', 'เป็นต้น', 'เป็นอัน', 'เล่นงาน', 'เป็นแดน']",เป็นงาน,9
เป็นที่,['เป็นที่'],เป็นที่,2
เป็นระเบียบ,['เป็นระเบียบ'],เป็นระเบียบ,2
เป็นระเบียบเรียบร้อย,['เป็นระเบียบเรียบร้อย'],เป็นระเบียบเรียบร้อย,2
เป็นสนิม,['เป็นสนิม'],เป็นสนิม,3
เป็นสาเหตุ,['เป็นสาเหตุ'],เป็นสาเหตุ,2
เปบียน,['เปลี่ยน'],เปลี่ยน,2
เปบี่ยน,['เปลี่ยน'],เปลี่ยน,2
เปล่า,['เปล่า'],เปล่า,20
เปลียน,['เปลี่ยน'],เปลี่ยน,12
เปลียน,"['เปลี่ยน', 'เปลื่อน']",เปลี่ยน,10
เปลี่ยน,['เปลี่ยน'],เปลี่ยน,820
เปลี่ยนเป็น,['เปลี่ยนเป็น'],เปลี่ยนเป็น,3
เปลี่ยนตัว,['เปลี่ยนตัว'],เปลี่ยนตัว,3
เปลื่ยน,"['เปลี่ยน', 'เปลื่อน']",เปลี่ยน,11
เป่า,['เป่า'],เป่า,7
เป๋า,['เป๋า'],เป๋า,7
เปิด,['เปิด'],เปิด,243
เปิดน้ำ,"['เปิดน้ำ', 'เป็นน้ำ', 'เช็ดน้ำ', 'ผิดน้ำ']",เปิดน้ำ,2
เปีย,['เปีย'],เปียก,2
เปียก,['เปียก'],เปียก,4
เปียกชื้น,['เปียกชื้น'],เปียกชื้น,2
เปียน,['เปลี่ยน'],เปลี่ยน,-1
เผา,['เผา'],เผา,4
เผื่อ,['เผื่อ'],เผื่อ,18
เฝ้า,['เฝ้า'],เฝ้า,3
เพ,['เพราะ'],เพราะ,2
เพราะ,['เพราะ'],เพราะ,4
เพลิง,['เพลิง'],เพลิง,38
เพิม,['เพิม'],เพิ่ม,29
เพิ่ม,['เพิ่ม'],เพิ่ม,29
เพิ่มเติม,['เพิ่มเติม'],เพิ่มเติม,3
เพิ่มขึ้น,['เพิ่มขึ้น'],เพิ่มขึ้น,8
เพียง,['เพียง'],เพียง,6
เพียงพอ,['เพียงพอ'],เพียงพอ,8
เพี้ยน,['เพี้ยน'],เพี้ยน,2
เพื่อ,['เพื่อ'],เพื่อ,308
เพื่อ,['เพื่อ'],เพื่อ,3
เพื่อให้,['เพื่อให้'],เพื่อให้,3
เพื่อที่จะ,['เพื่อที่จะ'],เพื่อที่จะ,3
เฟรม,['เฟรม'],เฟรม,2
เฟส,['เฟส'],เฟส,25
เภท,['เภท'],เภท,2
เมตร,['เมตร'],เมตร,271
เมิญ,"['เมิน', 'เชิญ', 'เมิน', 'เมิง', 'เริญ', 'เมิณ', 'เอิญ', 'เมิล', 'เขิญ', 'เม็ญ', 'เมิด', 'เมิส']",เมิน,4
เมิณ,"['เมิน', 'เชิญ', 'เมิน', 'เมิง', 'เริญ', 'เมิณ', 'เอิญ', 'เมิล', 'เขิญ', 'เม็ญ', 'เมิด', 'เมิส']",เมิน,3
เมิน,['เมิน'],เมิน,2
เมินหน้า,"['เมินหน้า', 'เดินหน้า', 'เกินหน้า']",เมินหน้า,2
เมือ,['เมื่อ'],เมื่อ,2
เมื่อ,['เมื่อ'],เมื่อ,9
เย็น,['เย็น'],เย็น,2
เยอะ,['เยอะ'],เยอะ,4
เยี่ยมชม,['เยี่ยมชม'],เยี่ยมชม,24
เร,['เรดาร์'],เรดาร์,3
เรดาร์,['เรดาร์'],เรดาร์,3
เรย์,['เรย์'],เรย์,24
เริ่ม,['เริ่ม'],เริ่ม,18
เรียง,['เรียง'],เรียง,2
เรียบร้อย,['เรียบร้อย'],เรียบร้อย,12
เรื้อ,['เรื้อ'],เรื้อ,2
เรื่อง,['เรื่อง'],เรื่อง,8
เล็ก,['เล็ก'],เล็ก,2
เล็กน้อย,['เล็กน้อย'],เล็กน้อย,3
เลข,['เลข'],เลข,20
เลท,['เล็ก'],เล็ก,2
เลฟินส์,"['เลฟินส์', 'เลนส์', 'ฟินส์', 'เฟิลส์', 'เอคินส์', 'เลียนส์', 'เฟ่นส์', 'คลินส์', 'ลินส์']",เลฟินส์,2
เลย,['เลย'],เลย,5
เละ,['เละ'],เละ,22
เลาะ,['เลาะ'],เลาะ,2
เลิก,['เลิก'],เลิก,2
เลื่อย,['เลื่อย'],เลื่อย,47
เวณ,['เวณ'],เวณ,2
เว้น,['เว้น'],เว้น,3
เวลา,['เวลา'],เวลา,20
เศษ,['เศษ'],เศษ,44
เศษเหล็ก,['เศษเหล็ก'],เศษเหล็ก,8
เศษไม้,['เศษไม้'],เศษไม้,5
เศษผ้า,"['เศษผ้า', 'เศร้า', 'เผ้า', 'เศณ้า']",เศษผ้า,2
เส,['เส้น'],เส้น,2
เส้น,['เส้น'],เส้น,11
เส้นทาง,['เส้นทาง'],เส้นทาง,9
เสร็จ,['เสร็จ'],เสร็จ,5
เสริม,['เสริม'],เสริม,2
เสา,['เสา'],เสา,36
เสาเข็ม,['เสาเข็ม'],เสาเข็ม,12
เสีย,['เสีย'],เสีย,11
เสียง,['เสียง'],เสียง,12
เสี่ยง,['เสี่ยง'],เสี่ยง,18
เสียงดัง,"['เสียงดัง', 'เสียงหลง', 'เสียงทอง']",เสียงดัง,5
เสียงาน,"['เสียงาน', 'เสียง', 'เสียหาย', 'เสียดาย', 'เสียคน', 'เสียน', 'เสียดทาน', 'เสียบน', 'เสียการ', 'เสียสาว']",เสียงาน,9
เสียที่,['เสียที่'],เสียที่,2
เสียบ,['เสียบ'],เสียบ,91
เสียหลัก,['เสียหลัก'],เสียหลัก,3
เสียหาย,['เสียหาย'],เสียหาย,4
เสื้อ,['เสื้อ'],เสื้อ,11
เสื่อมสภาพ,['เสื่อมสภาพ'],เสื่อมสภาพ,3
เหตุ,['เหตุ'],เหตุ,5
เหตุการณ์,['เหตุการณ์'],เหตุการณ์,3
เหตุฉุกเฉิน,['เหตุฉุกเฉิน'],เหตุฉุกเฉิน,2
เห็น,['เห็น'],เห็น,3
เหนือ,['เหนือ'],เหนือ,3
เหม็น,['เหม็น'],เหม็น,4
เหมา,['เหมา'],เหมา,2
เหมาะ,['เหมาะ'],เหมาะ,2
เหมาะสม,['เหมาะสม'],เหมาะสม,18
เหมือน,['เหมือน'],เหมือน,4
เหมือนเดิม,['เหมือนเดิม'],เหมือนเดิม,2
เหมือนกัน,"['เหมือนกัน', 'เหมือนกับ']",เหมือนกัน,2
เหยียบ,['เหยียบ'],เหยียบ,18
เหยื่อ,['เหยื่อ'],เหยื่อ,2
เหล็ก,['เหล็ก'],เหล็ก,347
เหล็กเส้น,['เหล็กเส้น'],เหล็กเส้น,60
เหล็กสกัด,['เหล็กสกัด'],เหล็กสกัด,3
เหลว,['เหลว'],เหลว,2
เหลือ,['เหลือ'],เหลือ,6
เหลือง,['เหลือง'],เหลือง,3
เอ,['เอก'],เอก,5
เอกสาร,['เอกสาร'],เอกสาร,49
เอง,['เอง'],เอง,4
เอว,['เอว'],เอว,3
เอา,['เอา'],เอา,15
เอียง,['เอียง'],เอียง,4
เอียด,['เอียด'],เอียด,4
เฮียบ,"['เฮี๊ยบ', 'เจี๊ยบ', 'เปี๊ยบ', 'เอี๊ยบ', 'เฮี้ยบ', 'เตี๊ยบ', 'เฮียบ']",เฮี๊ยบ,20
เฮี่ยบ,"['เฮี๊ยบ', 'เจี๊ยบ', 'เปี๊ยบ', 'เอี๊ยบ', 'เฮี้ยบ', 'เตี๊ยบ', 'เฮียบ']",เฮี๊ยบ,5
เฮี้ยบ,"['เฮี๊ยบ', 'เจี๊ยบ', 'เปี๊ยบ', 'เอี๊ยบ', 'เฮี้ยบ', 'เตี๊ยบ', 'เฮียบ']",เฮี๊ยบ,9
เฮี๊ยบ,"['เฮี๊ยบ', 'เจี๊ยบ', 'เปี๊ยบ', 'เอี๊ยบ', 'เฮี้ยบ', 'เตี๊ยบ', 'เฮียบ']",เฮี๊ยบ,48
แก,['แก้'],แก้,3
แก้,['แก้'],แก้,17
แกไข,['แก้ไข'],แก้ไข,2
แก่ไข,['แก้ไข'],แก้ไข,2
แก้ไข,['แก้ไข'],แก้ไข,534
แกรง,['แกรง'],แกรง,2
แก๊ส,['แก๊ส'],แก๊ส,14
แกะ,['แกะ'],แกะ,26
แขง,['แข็ง'],แข็ง,4
แข็ง,['แข็ง'],แข็ง,4
แข็งแรง,['แข็งแรง'],แข็งแรง,2
แขวน,['แขวน'],แขวน,45
แค่,['แค่'],แค่,7
แคป,['แคป'],แคป,2
แจ,['แจ'],แจ,83
แจ้ง,['แจ้ง'],แจ้ง,63
แช่,['แช่'],แช่,3
แดง,['แดง'],แดง,2
แดด,['แดด'],แดด,2
แต่,['แต่'],แต่,60
แตก,['แตก'],แตก,10
แตกร้าว,['แตกร้าว'],แตกร้าว,2
แต่ง,['แต่ง'],แต่ง,214
แต่งหน้า,['แต่งหน้า'],แต่งหน้า,2
แตน,['แตน'],แตน,2
แต่ละ,['แต่ละ'],แต่ละ,2
แทก,['แทก'],แทก,2
แท่ง,['แท่ง'],แท่ง,2
แทน,['แทน'],แทน,15
แท่น,['แท่น'],แท่น,3
แทรก,['แทรก'],แทรก,35
แน่น,['แน่น'],แน่น,5
แน่นหนา,['แน่นหนา'],แน่นหนา,3
แนบ,['แนบ'],แนบ,29
แนว,['แนว'],แนว,202
แนวตั้ง,['แนวตั้ง'],แนวตั้ง,2
แนวนอน,['แนวนอน'],แนวนอน,2
แนะนำ,['แนะนำ'],แนะนำ,11
แบต,['แบต'],แบต,4
แบตเตอรี่,['แบตเตอรี่'],แบตเตอรี่,5
แบน,['แบน'],แบน,2
แบบ,['แบบ'],แบบ,50
แป,['แปลน'],แปลน,7
แปรง,['แปรง'],แปรง,12
แปลง,['แปลง'],แปลง,20
แปลง,['แปลง'],แปลง,15
แปลน,['แปลน'],แปลน,76
แผง,['แผง'],แผง,32
แผน,['แผน'],แผน,2
แผ่น,['แผ่น'],แผ่น,86
แฟชั่น,['แฟชั่น'],แฟชั่น,2
แมลง,['แมลง'],แมลง,3
แยก,['แยก'],แยก,4
แรง,['แรง'],แรง,3
แรงดัน,['แรงดัน'],แรงดัน,5
แล,['แล'],แล,2
แลง,['แรง'],แรง,2
แลน,['แล้ว'],แล้ว,4
แล้ว,['แล้ว'],แล้ว,35
แล้วแต่,['แล้วแต่'],แล้วแต่,2
และ,['และ'],และ,906
และ,['และ'],และ,22
แว่น,['แว่น'],แว่น,2
แว่นตา,['แว่นตา'],แว่นตา,11
แว่นสายตา,['แว่นสายตา'],แว่นสายตา,2
แส,['แสง'],แสง,11
แส,['แส'],แส,2
แสง,['แสง'],แสง,13
แสงสว่าง,['แสงสว่าง'],แสงสว่าง,9
แสดง,['แสดง'],แสดง,11
แห้ง,['แห้ง'],แห้ง,4
แหน่ง,['แหน่ง'],แหน่ง,4
แหล่งที่มา,['แหล่งที่มา'],แหล่งที่มา,2
แหลมคม,"['แหลมคม', 'แหลม', 'แหม่ม', 'แหมม', 'แหล่ม']",แหลมคม,7
แอร์,['แอร์'],แอร์,39
โค,['แม็คโคร'],แม็คโคร,10
โค้ง,['โค้ง'],โค้ง,2
โคม,['โคม'],โคม,3
โคมไฟ,"['โคมไฟ', 'โคม', 'โคม่า', 'คบไฟ', 'ผมไฟ', 'รุมไฟ', 'โคมัย', 'โคลฟ']",โคมไฟ,39
โคมไฟถนน,['โคมไฟถนน'],โคมไฟถนน,2
โครง,['โครง'],โครง,13
โครงการ,['โครงการ'],โครงการ,8
โครงสร้าง,['โครงสร้าง'],โครงสร้าง,14
โคลน,['โคลน'],โคลน,2
โชว์,['โชว์'],โชว์,6
โซ,['โซ'],โซ,380
โซ่,['โซ่'],โซ่,6
โซล่าเซลล์,['โซล่าเซลล์'],โซล่าเซลล์,10
โดน,['โดน'],โดน,9
โดย,['โดย'],โดย,239
โดยตรง,['โดยตรง'],โดยตรง,3
โดยที่,['โดยที่'],โดยที่,10
โดยรอบ,['โดยรอบ'],โดยรอบ,6
โต๊ะ,['โต๊ะ'],โต๊ะ,2
โพ,['โพ'],โพ,2
โฟค,"['โรค', 'โค', 'โชค', 'เฟค', 'โฟน', 'โฟ', 'โฟม', 'โยค', 'แฟค', 'โฟร', 'โภค', 'โมค', 'โวค', 'โฮค', 'โฟล', 'โดค', 'โฟ้']",โฟล์ค,3
โฟม,['โฟม'],โฟม,3
โฟล์ค,['โฟล์ค'],โฟล์ค,2
โฟล์คลิฟท์,['โฟล์คลิฟท์'],โฟล์คลิฟท์,10
โย,['โยก'],โยก,4
โยก,['โยก'],โยก,2
โยน,['โยน'],โยน,2
โรง,['โรง'],โรง,3
โรงไฟฟ้า,['โรงไฟฟ้า'],โรงไฟฟ้า,3
โรงงาน,['โรงงาน'],โรงงาน,6
โรย,['โรย'],โรย,6
โลโก้,['โลโก้'],โลโก้,2
โว,['โวลต์'],โวลต์,13
โหลด,['โหลด'],โหลด,30
โหว่,['โหว่'],โหว่,2
โอ,['โอ'],โอ,4
โอกาส,['โอกาส'],โอกาส,2
ใกล้,['ใกล้'],ใกล้,38
ใกล้เคียง,['ใกล้เคียง'],ใกล้เคียง,3
ใข,['ไข'],ไข,2
ใจ,['ใจ'],ใจ,2
ใช่,['ใช่'],ใช่,5
ใช้,['ใช้'],ใช้,470
ใช้งาน,['ใช้งาน'],ใช้งาน,72
ใชพ้,['ใช้'],ใช้,2
ใช้รถเฮี๊ยบ,['ใช้รถเฮี๊ยบ'],ใช้รถเฮี๊ยบ,2
ใต้,['ใต้'],ใต้,17
ใต้ดิน,['ใต้ดิน'],ใต้ดิน,2
ใน,['ใน'],ใน,345
ใบ,['ใบ'],ใบ,20
