word,correct_word
นั้งร้าน,นั่งร้าน
สายแฟล็กซ์,สาย flexible
ธุระกิจ,ธุรกิจ
เฮี๊ยบ,hiab
เฮี้ยบ,hiab
รถhiab,hiab
รถเฮี้ยบ,hiab
รถเฮี๊ยบ,hiab
รถเฮียบ,hiab
รถ เฮี้ยบ,hiab
รถ เฮี๊ยบ,hiab
รถ เฮียบ,hiab
โช๊ค,โช้ค
จาระบี,จารบี
cheak,check
ลืน,ลื่น
สดุด,สะดุด
ปะแจ,ประแจ
site survey,ตรวจหน้างาน
ตรวจหน้างาน,inspecting the site
scaffolde,scaffold
scaffolding,scaffold
sacfold,scaffold
scaffold,scaffold
scaffloding,scaffold
lubrication,lubricant
UTM ,ultrasonic thickness measurement
PT ,penetrant testing
remove,dismantle
set up,install
เจียร์,เจียร